episode,epsilon,total_reward,steps,success,crate_goal_distance,visited_states
0,0.45,15.3645,50,True,0.3924,9
1,0.4486,15.1641,21,True,0.4074,11
2,0.4473,15.3601,38,True,0.3906,15
3,0.4459,15.0162,16,True,0.4147,16
4,0.4445,14.1131,36,True,0.4556,24
5,0.4431,-2.5542,80,False,0.6801,31
6,0.4418,15.5111,54,True,0.3964,41
7,0.4404,14.7663,16,True,0.4231,42
8,0.439,15.3934,15,True,0.4007,42
9,0.4377,15.4058,21,True,0.3941,43
10,0.4363,14.765,10,True,0.4257,43
11,0.4349,15.661,13,True,0.3902,43
12,0.4335,14.295,16,True,0.4419,44
13,0.4322,15.1673,21,True,0.4087,44
14,0.4308,15.4128,24,True,0.3923,49
15,0.4294,15.8076,22,True,0.3906,51
16,0.4281,15.0595,29,True,0.409,51
17,0.4267,15.6134,24,True,0.3885,52
18,0.4253,15.4327,19,True,0.4004,53
19,0.4239,14.9883,28,True,0.4062,56
20,0.4226,15.5704,24,True,0.3901,57
21,0.4212,13.6494,30,True,0.4587,59
22,0.4198,15.3015,16,True,0.4069,59
23,0.4185,15.07,17,True,0.4149,62
24,0.4171,15.181,22,True,0.4054,63
25,0.4157,15.642,18,True,0.3907,63
26,0.4143,14.5702,14,True,0.432,63
27,0.413,15.8337,12,True,0.3857,63
28,0.4116,14.452,27,True,0.4361,63
29,0.4102,14.707,27,True,0.419,63
30,0.4089,15.0551,21,True,0.4105,64
31,0.4075,5.5308,80,False,0.4111,73
32,0.4061,13.2354,9,True,0.4839,75
33,0.4047,15.1435,26,True,0.4111,77
34,0.4034,14.9766,24,True,0.4101,78
35,0.402,14.9402,16,True,0.4195,78
36,0.4006,16.045,15,True,0.3793,78
37,0.3993,15.7885,16,True,0.3894,78
38,0.3979,13.5548,29,True,0.469,78
39,0.3965,13.8777,16,True,0.4595,79
40,0.3952,13.6031,15,True,0.4688,79
41,0.3938,-2.0113,80,False,0.6801,85
42,0.3924,15.7229,45,True,0.3838,85
43,0.391,15.0644,18,True,0.409,85
44,0.3897,14.2671,26,True,0.4276,86
45,0.3883,14.0782,13,True,0.4538,86
46,0.3869,13.6226,14,True,0.4642,86
47,0.3856,14.9007,39,True,0.3971,86
48,0.3842,14.4901,15,True,0.4365,86
49,0.3828,14.9812,9,True,0.4168,86
50,0.3814,15.5439,38,True,0.3935,86
51,0.3801,14.9483,24,True,0.4102,86
52,0.3787,15.3556,23,True,0.3978,86
53,0.3773,-2.2956,80,False,0.6801,89
54,0.376,15.5867,33,True,0.3882,89
55,0.3746,15.1803,28,True,0.4001,89
56,0.3732,15.7989,21,True,0.3892,89
57,0.3718,-2.2351,80,False,0.6801,89
58,0.3705,15.3443,16,True,0.4068,89
59,0.3691,15.3298,16,True,0.4001,90
60,0.3677,14.6882,25,True,0.4232,90
61,0.3664,15.1313,24,True,0.4138,90
62,0.365,1.0763,80,False,0.5702,90
63,0.3636,15.1666,16,True,0.4065,90
64,0.3622,13.9899,11,True,0.456,90
65,0.3609,15.3924,28,True,0.3951,91
66,0.3595,15.9078,15,True,0.3846,91
67,0.3581,14.1756,20,True,0.4384,91
68,0.3568,15.7277,9,True,0.388,91
69,0.3554,15.1204,30,True,0.4009,91
70,0.354,-2.4735,80,False,0.6801,95
71,0.3526,15.7778,10,True,0.3867,95
72,0.3513,15.2275,10,True,0.4063,95
73,0.3499,15.0124,9,True,0.4156,95
74,0.3485,15.0386,46,True,0.4005,97
75,0.3472,14.8675,35,True,0.4007,98
76,0.3458,14.2655,50,True,0.4025,98
77,0.3444,14.2217,9,True,0.446,98
78,0.343,15.4257,44,True,0.3883,100
79,0.3417,14.8928,17,True,0.4204,100
80,0.3403,15.1044,15,True,0.4113,100
81,0.3389,14.4388,8,True,0.437,100
82,0.3376,-2.91,80,False,0.6801,102
83,0.3362,13.6773,26,True,0.4593,102
84,0.3348,15.673,11,True,0.3913,102
85,0.3334,15.5218,14,True,0.3965,102
86,0.3321,15.2835,13,True,0.4074,102
87,0.3307,13.7388,10,True,0.4651,103
88,0.3293,14.1583,31,True,0.4424,103
89,0.328,13.4348,10,True,0.4768,103
90,0.3266,13.7829,18,True,0.4639,103
91,0.3252,12.5691,80,True,0.5047,111
92,0.3238,14.9743,11,True,0.4182,111
93,0.3225,15.5964,32,True,0.3991,112
94,0.3211,15.6038,37,True,0.3858,112
95,0.3197,14.8525,17,True,0.4217,112
96,0.3184,15.1896,61,True,0.3836,113
97,0.317,-2.3544,80,False,0.6801,117
98,0.3156,14.197,17,True,0.4214,117
99,0.3142,15.3901,31,True,0.4059,117
100,0.3129,15.8211,12,True,0.3862,117
101,0.3115,15.062,11,True,0.4148,117
102,0.3101,15.0141,12,True,0.4162,117
103,0.3088,13.1209,37,True,0.4728,117
104,0.3074,13.2812,20,True,0.4825,118
105,0.306,13.4956,19,True,0.4735,118
106,0.3046,14.6639,23,True,0.4198,119
107,0.3033,14.7708,11,True,0.426,119
108,0.3019,13.8451,23,True,0.4529,119
109,0.3005,13.0233,23,True,0.4876,119
110,0.2992,14.9813,19,True,0.4177,119
111,0.2978,14.6569,8,True,0.4287,119
112,0.2964,14.6066,18,True,0.4339,119
113,0.2951,15.3253,19,True,0.4038,119
114,0.2937,15.2683,24,True,0.4032,119
115,0.2923,14.7184,20,True,0.4277,119
116,0.2909,15.5818,15,True,0.3969,119
117,0.2896,15.5734,24,True,0.3965,119
118,0.2882,13.269,12,True,0.4833,119
119,0.2868,15.1623,34,True,0.4067,119
120,0.2855,14.7199,12,True,0.4261,119
121,0.2841,14.703,28,True,0.4303,119
122,0.2827,13.983,57,True,0.4284,122
123,0.2813,13.6018,14,True,0.4705,122
124,0.28,15.0466,9,True,0.4142,122
125,0.2786,15.4867,8,True,0.3967,122
126,0.2772,14.4803,13,True,0.4349,122
127,0.2759,15.3717,22,True,0.4003,122
128,0.2745,14.7515,10,True,0.4262,122
129,0.2731,14.8692,28,True,0.4027,122
130,0.2717,14.6565,17,True,0.4229,122
131,0.2704,15.3156,19,True,0.4049,122
132,0.269,15.4903,25,True,0.3923,123
133,0.2676,14.0743,21,True,0.4476,123
134,0.2663,14.076,15,True,0.4477,123
135,0.2649,13.9449,8,True,0.456,123
136,0.2635,15.1711,59,True,0.3759,123
137,0.2621,14.8573,9,True,0.4215,123
138,0.2608,15.2565,10,True,0.4067,123
139,0.2594,14.1095,27,True,0.4515,123
140,0.258,13.8644,11,True,0.4609,123
141,0.2567,14.6708,15,True,0.4292,123
142,0.2553,-2.1425,80,False,0.6801,124
143,0.2539,15.087,19,True,0.4146,124
144,0.2525,15.6802,38,True,0.3786,124
145,0.2512,15.059,23,True,0.411,124
146,0.2498,15.4446,13,True,0.4012,124
147,0.2484,13.4501,60,True,0.4323,124
148,0.2471,14.7053,24,True,0.4259,124
149,0.2457,15.0129,7,True,0.4144,124
150,0.2443,14.126,10,True,0.4488,124
151,0.2429,15.8022,12,True,0.3869,124
